46GP8	a person cooks food on a stove before looking out of a window 
N915C	a person walks into a room and gets undressed 
N915C	a person walks into the room and undresses ; they snuggle with a blanket pick up a broom and sweep the floor 
FXRMG	a person picks up a book off of a table looks around and then opens a door exits and closes a door 
FXRMG	a person grabs a book from a desk and holds it as they look around ; they set it on the desk before walking out the door 
P68QV	a person is holding a camera and smiling at it ; the person grabs some food off a plate and eats ; the person grabs a bag from the table and carries it out the room 
P68QV	the person looked at a phone ate two animal crackers too the bag from the counter then left the room 
78XZ9	someone is in their basement ; they walk to a box and stand on it with a book in their hand ; they open the book and read from it and then they close it 
0VOQC	a person is eating some food 
0VOQC	a person runs into the room bumps into a box looks at a phone and sticks it in a pocket ; the person then opens a bag containing a sandwich that has been held the whole time and removes the sandwich and begins eating it ; the bag is then closed and the person walks away with it 
E6Q95	a person takes of their coat and sits on a sofa and watches tv 
G99VH	a person is sitting on the stairs and picks up a camera and takes a picture of themselves ; they set down the camera then they pick up a bottle of medicine and pour it into a spoon ; they close the lid to the bottle as they hold the spoon 
G99VH	a person is sitting on the stairs taking a picture ; the person then puts down the camera and picks up a bottle of pink medicine and pours some in a spoon 
DWHPO	people sitting at a table eating food one take something out of a bag other person pick it up 
DWHPO	two people are sitting in chairs at a table eating something ; one person removes some food from their bag and places it on the table ; the second person picks up the food 
H603E	a person is sitting in a chair looking at a paper while working on a laptop 
H603E	the person is sitting and looking through some paper ; the person then types something on a keyboard ; they do this two times put the paper on the ground then eat something 
CBXVQ	a person enters the room and opens up a cabinet and gets several cans out and puts them on the counter ; then they turn on the faucet and wash their hands 
CBXVQ	a person opens a cabinet and retrieves some food from a shelf in it ; they then wash the top of a one of the cans in the sink 
PN4MI	a man in standing near a door way drinking a glass of water holding a piece of paper ; another man is sitting on a counter doing home work while eating a sandwich 
PN4MI	two persons are eating and drinking in a kitchen ; one operates a calculator doing their homework while the other holds papers 
VJ2QS	a person dumps some water into a sink ; the person sits in a chair and tosses a bag of bread in their hands 
VJ2QS	a person is pouring some water into a sink they then sit down at a table and begin playing with some bread 
FI1LR	a lady stands in her kitchen and unloads items from a basket and puts them into a cabinet while a second woman cooks behind her 
AY08E	a person walks into a living room holding some clothes then hugs the clothes and looks into a mirror and smiles 
7XNAI	person walks in room bends and place food on table sits on couch and types on laptop 
7XNAI	the person comes into view on the screen sets down a sandwich and sits down on a couch and gets on the computer 
IST7I	a person is sitting on a sofa looking at a laptop on the coffee table ; they open a box of ritz crackers fidget with a blanket and begin eating the crackers 
IST7I	person sits on a sofa and eats some food 
OI3BC	a person enters the room carrying a towel ; they put it on a chair then close the door of a cabinet 
OI3BC	a person walks to his room and puts his shirt on his chair ; the person then is trying to look for something 
F4BJJ	a person runs to a desk and takes a book out of their bookbag ; they begin reading the book and smiling and nodding 
83654	a person walks over to a desk carrying a plate with a sandwich on it sits down in the chair takes a box off of the desk and opens it 
83654	person walks in sits down and begins to look at a pair of shoes ; this person carries a sandwich into their room and places it on the desk 
0G0YF	a person is opening the fridge then they are at the stove cooking the lift the pan several times 
0R5GS	a person walks into the room and grabs a box off of a bench ; the person walks in circles while holding the box while looking in a mirror 
0R5GS	a person walks into a room picks up a box and begins walking in circles with the box in hand 
PVB4S	the person walked down the stairs with a backpack and threw the backpack ; the person picked it up and put it on a bench 
PVB4S	a person walks down some stairs holding a bag ; they throw the bag on to the floor pick it up and put it on a chair 
N2OCX	a person holding a broom walks into the hallway laughing ; they sneeze and leave the room 
Q5GVZ	a person walks by while holding a cup of coffee and a towel ; the person puts the towel on a table then adjusts the picture on the wall 
R7107	a person is sitting on a sofa working on the laptop when another person walks in through the door carries groceries 
R7107	a person sits on a couch with a laptop while another person enters a doorway and opens a door with a bag then closes it 
UMOE4	the person is shuffling through cards while standing at a table ; another person sprints through the picture past the original person standing there 
UMOE4	a person searches through a box and another person runs across the room 
QLWQ4	a person is putting clothes in a box they then put a blanket in a basket and several other clothes 
QLWQ4	someone is in the living room and they grab a shirt from the table and fold it and then puts a bag and clothes in a hamper 
S9P0W	a person folds a towel puts it in a box and then turns off the light 
U1DTW	a person in blue jeans and a sweat shirt is inside a cluttered room and using a yellow broom to sweep the floor 
R6CIX	a person is fixing a door and then sits down on a couch 
2PREF	a person put a frying pan on the stove ; the person then turned on the stove ; the person then grabbed some food from the cabinet 
2PREF	a person in kitchen walks over and puts pan on stove then goes to cabinet and pulls out cup off shelf then places it on table then walk over and looks in another cabinet 
57J92	a person is sweeping the floor with a broom ; another person is standing out of the way while eating something ; the second person walks away 
57J92	person sweeps the floor and another eats a sandwich 
R2DA8	a person sitting on a chair and working on a laptop on a table sneezes ; they get up and go to their kitchen where they sit a plate down on the floor and open their refrigerator 
R2DA8	a person sitting in a chair working at a laptop closing the laptop getting up and walking to the kitchen opening the fridge and putting something on a plate in the middle of the floor 
VCU4P	a woman is smiling at a young guy ; the guy is picking up a blanket ; he folds it and sets it on a cabinet ; then he begins walking around looking for something 
U3OJV	a person is sitting in a chair drinking from a glass and looking at a phone 
U3OJV	a person is sitting in a chair holding a cup and a phone ; they drink water from the cup 
PY5M4	a person is standing in front of a mirror and is looking at themself ; they walk through a door and into a room with a sink 
PY5M4	a person looks in the mirror and touches their face ; they walk through the doorway and lean over a sink 
T1CQE	a person enters the doorway ; a person grabs a bag off of a chair ; a person then sits down and takes out a laptop 
T1CQE	a person walks into a room and picks up a book bag off of a chair ; the person carries the bag across the room and then sits down on a floor / bed opens the bag takes out a laptop computer and opens the computer 
FPNT1	a person walks up the stairs holding a laptop and a book ; the person throws the book on the floor and leaves 
3ZKDY	a person is sleeping on the sofa and wakes up 
3MAY9	a person takes some pictures of a microwave ; the person then drinks some water and turns off the closet light 
3MAY9	a person is taking a picture with a camera ; a person then drinks a glass of water and turn off the light 
0TQZQ	a person abruptly walks out of a closet after standing there for a few seconds reading a book 
G70A2	a person sneezes ; the person then picks up a book off a shelf 
R00LO	a person walks through a door wrapped in a blanket ; they walk to the pantry and grab food ; they then eat the food 
R00LO	a person walks through a doorway wearing a blanket they then go to the fridge take out some food and begin to eat it 
CMD0M	a person tidies up a workspace in the garage then poors some water 
CMD0M	a person is plugging in a radio ; a person then pours themselves a glass of water 
2WGSN	a person drinks from a glass 
KV99H	a person opens up a drawer and begins placing the items in that drawer in a plastic bag 
KV99H	a person opened a desk drawer and a plastic bag ; the person removed shoes papers and some other objects from the drawer and placed them in the bag 
EDVAM	a person is holding a pillow while sitting on a couch ; he stands up and goes to clothes a window 
R1S1Z	a person tosses objects to another person and then throws a bag at them ; then both of them go crazy 
FDYQZ	one person is undressing while another person is holding a pillow and walking around the room 
FDYQZ	two people are in a room ; one is undressing and redressing in front of a mirror while the other paces back and forth holding a pillow 
V3DJ5	a person lays on the couch covered in blankets ; after a little while the person sneezes smiles and picks up a piece of food and eats it 
V3DJ5	a person is laying on a sofa with a blanket while sneezing and eating 
9GMHF	a person hangs up a red coat in a closet ; the person then opens another door takes out a broom and begins sweeping the hallway 
G6MYM	a person is standing in front of a mirror fixing their hair when another person comes in through the door holding a bag and goes to the table and puts groceries in the bag 
G6MYM	a person is looking at himself in the mirror and flexes ; another person walks in with a bag sand puts something in the bag 
G6MYM	a person stands and poses in front of a mirror ; another person walks into the room holding a bag of food and starts putting the bags contents onto the table 
7HZHM	a person is taking off a jacket while looking in the mirror ; a person takes a tissue 
7HZHM	person walks in bathroom looks in mirror takes off sweat shirt sneezes grabbed a tissue and walked out bathroom 
XOMJ4	the person approach a desk and sets down a spoon ; then the person opens the drawer and pulls out a bottle of medicine ; proceeds pouring the medicine into the spoon and drinks it then puts the medicine back into the drawer ; finally the person sits down in the chair 
L2ZZB	a person undresses lays down on a blanket pulls out their phone and holds it and wraps up in the blanket on the floor 
UAT1F	a person picks up a book and flips through the pages ; they put the book down and open up a laptop 
UAT1F	a person picks up a book flips through the pages then puts it on a desk ; they then open a laptop 
MZOPX	a person is working on a laptop then they pick up a glass walk over to a sink and wash it 
MZOPX	a person is on their laptop ; the person is viewing the laptop ; the person then gets up goes to the sink and begins washing a glass 
VLE11	a person is sitting at a table playing with a phone they then begin to work on homework 
VLE11	a person is sitting at a table holding a remote control ; they change the tv channel then put the remote down and start working on homework 
S67WR	a person is standing in and entryway fixing a vacuum they then open a door and proceed to leave 
00SL4	a person opens a closet places a blanket on the shelf then closes the closet 
SYMIR	the person is coming indoors then removing a sweater and hanging it on a doorknob then removing shoes then taking back the sweater and exiting the room 
U3VOM	a person is laying down on a bed with a blanket watching tv then another person comes and throws a pile of clothes on the floor 
U3VOM	a person is laying in their bed watching television then a person walks in the room and throws a pile of clothes on the floor 
Q01UB	a person picks up a jacket and puts it on ; then they take their shoes off and put it on a table 
S72J9	a person picks up a glass of water and drinks it while closing a door ; a person takes a look out a window 
S72J9	a person picks up a bottle of water off of the washer and drinks it ; they close a cabinet door and walk out of the room ; they go to the living room window and look out the window and then leave 
6EU06	a person is sitting at a table ; the person is putting away their homework and cleaning off the table 
6EU06	a person is working on homework at the table ; they put their homework away and clean the table 
4ZNNP	a person is leaning in a doorway ; another person walks past the other person 
PVVQS	a person is walking through a doorway ; a person then turns on a light and begins laughing ; a person then throws their shoes down the hallway 
PVVQS	a person walks into a room carrying a pair of slippers and turns on the light ; the person stands in the middle of the room smiling and then throws the slippers down a hallway 
FU2HI	a person is sweeping the floor with a broom 
FU2HI	the person is sweeping the floor over and over again 
D4CHP	a person is sitting on a mat on the floor and takes his shirt off ; when finished removing the shirt the person pulls over a blanked and lies down on a pillow 
D4CHP	a person is sitting on the floor with a blanket and pillow they then begin to undress and lay down to sleep 
MI76A	a person is laying on a sofa reading a book while covered with a blanket ; they then close the book and lay down 
WFVD3	a person holds a book in a doorway ; they turn the light off and throw the book in a room 
WFVD3	a person is walking out of the bathroom with a book and then throws the book 
XHQT1	a person is tidying shoes on a shelf ; the person then walked out a door 
XHQT1	a person is tidying up shoes on a shelf ; the person is rearranging the pairs of shoes ; the person walks away opens a door goes through it and closes it behind them 
XECIL	person eats sandwich open cabinet grab food out pours food on plate puts food away grabs napkin wipe mouth 
TX020	a person runs into a garage and sits down ; they put some shoes on and walk out 
TX020	person runs into garage sits in chair puts on shoes and runs out of garage 
VAXUU	a person moves a curtain and picks up a camera from the wardrobe ; the person then leaves the room with the camera closing the door behind themselves 
VAXUU	a person opens a curtain and gets a camera from a shelf ; they then close a door 
B9YPQ	a person is closing a door to a wardrobe then putting his hands in his pockets and smiling then walking to another door and going through it 
B9YPQ	the person closed the closet door walk towards the door and walk out the door 
UKCTK	a person picks up an item from the bedroom floor then pull their phone out of their pocket and looks at it before slowly exiting the room 
UKCTK	a person picks up a broom off the floor then checks their phone ; they walk into the closet and close the door 
AZC1I	person flips chair and tightens screws sits on chair and opens computer 
Q24KP	person a walks into the room and puts a towel away while person b watches person a 
Q24KP	a person is standing in the bedroom ; a second person picks up a towel off the bed then sits down 
5Z1CO	person tidies bed sits on it juggles objects 
DB4WX	person is playing with a pet 
UBVV7	a person folds a sheet and puts it into a box ; the person then takes some food out of a bag and eats it ; the person then takes the box and stores it away in a closet 
AGWQA	a person is throwing laundry in the laundry machine then tidying up a shelf 
TJBGM	a person sweeps the floor in the kitchen ; they put down the broom and pick up a book and start reading 
TJBGM	the person is sweeping the floor ; the person arranges some shoes ; the person picks up a book and starts reading it 
0NFT7	a person is walking and sorting laundry ; person 1 puts laundry in piles on the floor ; person two walks into the room holding two drinks and hands person 1 a drink as person 1 walks out the door 
0NFT7	a person dropping clothes in a line and before exiting the room another person enters the room handing the person a drink 
AX4EW	person a is taking a picture of person b while person b eats good on a table and sneezes 
AX4EW	person a is taking a picture of person b and person b is eating from a plate and sneezing 
LT2IJ	a person talked some items from a shelf flips through a magazine and replaces the items 
X0CKA	a person is looking at a picture then takes a drink from a glass 
JZ9L4	the person is sitting down and starts buttoning up a shirt ; when the person finishes buttoning the shirt the person grabs a white towel ; the person then stands up and puts the towel on a bed ; the person grabs the chair and moves it out of the way 
003WS	a person turns on the camera and opens the door ; the person then opens some medicine and paces it on the table ; the person then readjusts the table and turns off the camera 
MLDGN	a person fixes the coat they are wearing and then cleans a picture frame with a sponge 
VPJLN	a person is holding laundry while going in and out of the door using the door know 
XCUOD	a person is sitting in a chair holding a bag and eating a snack ; they throw an object in a trash can as another person enters the room and takes a snack out of the bag and eats it and then puts a jacket on and leaves the room 
XCUOD	this person is sitting in a chair eating chips another person walks in and eats some chips as well then puts on a robe 
YQOPM	a person is putting clothes from a box into a closet 
VJ3B5	a person walks into a room ; the person takes a box from the sink and throws it to the floor 
1D31Z	a person is taking bread out of a bag and drinking from a glass of water 
LWP5F	a person is eating a sandwich ; the person is taking some clothes out of a box 
HDDU0	the person was holding a cup of coffee and reading a letter and walking in the kitchen ; the person was apparently getting ready for the work day 
NMG2Z	a person takes off some clothes 
TU3IG	a person walks into the kitchen and sets a drink on a table ; the person then opens a box and puts medicine in their mouth and then picks up the drink and walks out of the room 
TU3IG	a person eats food out of a box then takes a drink 
C1LJS	the person came into the room and got into the bed to rest 
WFWTU	a person is running into a garage eating some food they then leave and close the door behind them 
KU2T0	one person is sitting in a chair tossing a pillow ; the other person is sitting in a chair with their head on the table 
KU2T0	a person tosses a pillow around in a chair as another sleeps on a table 
9WX7N	a person is sitting on the stairs holding a pillow and making hand gestures ; they appear in front of a mirror sneeze and then use their hands to clean and prepare themselves 
8W0XJ	a person is closing some cupboard doors and then takes a photo of them with a camera 
8W0XJ	a person looks out and closes a window ; then take person takes a picture with a camera 
IUW9N	someone walks into the bathroom and closes the door behind them ; they look into the mirror and fix their hat 
3H0PT	a man sitting at a desk with a laptop on a the keyboard tray gets up and leaves through a door 
9JIHR	a person is laying on the floor and kicking a door they stand up and walk over to a box 
W6QUC	a person lying on the floor is holding a chair as another person uses a towel to clean a window 
XBXKO	person stands in laundry room picks up smartphone watches video on smartphone grabs clothes from dryer 
WYHPH	a person is sitting in the kitchen leaning against the cabinets ; the person stretches and reveals they are holding a camera ; the person laughs at the camera and then stands up 
WYHPH	a person sits on the floor then looks at a camera 
GLH5S	a person sits in a chair ; they stand up and take something from a table ; they sneeze twice and put the thing back on the table 
GLH5S	a person sits in a chair stands up examines a bottle of medicine sneezes then places the bottle on a table 
UU5XI	a person is fixing a doorknob with a tool ; the person picks up a bag and walks through the doorway 
UU5XI	a person is fixing a doorknob then picks up their tools and walks away 
PK2F0	a person is opening a door holding a pile of clothes then proceeds to put them away in a closet they close the door and lay down on a bed 
PXKFK	a person is walking through a hallway and then goes through a door way to pick up a plastic bag with stuff inside the person then reaches into the bag 
JNLCW	this person picks up a coffee cup then takes a bit of a sandwich 
7AH3L	person walking around the room and walk completely around the table lay on the floor gets up and began to vacuum 
C41G7	a person is dusting their living room ; they put the duster down and then pick up a remote and start changing the tv channels 
OOOQT	a person is standing in front of the refrigerator looking through the food on the shelves 
OOOQT	a person stands in the doorway of a refrigerator holding on to the door and moves food from shelf to shelf 
O0C2Z	a person turns on a light rinces some dishes then walks around spinning a broom 
OEBAH	a person is walking in their kitchen holding a towel and shoes 
OEBAH	a person walks into the kitchen holding a towel and shoes ; they pace back and forth 
17AZ5	a person takes a jacket off the counter and puts it on ; then the person opens a cabinet takes out medicine and sneezes 
17AZ5	a person walks through the kitchen and picks up a sweater from the counter ; the person then puts on the sweater and goes to the cabinet ; the person opens the cabinet door takes a bottle of medicine from the shelf and sneezes ; the person then turns off the light 
YPZQ2	a person is holding bags in a doorway while another person comes in and takes a bag then they both leave 
MMKKS	a person in a small room throwing stuff off of a shelf ; the boxes are all over the floor ; the person continues to throw more boxes on the floor off the shelf 
MMKKS	a person throws stuff off a table 
MMKKS	a person empties shelves by throwing or tossing everything off of them onto the floor 
BWKJB	the person is in a hallway folding towel and placed in chair 
7OPHI	a person opening a laptop and checking their email 
R0207	a person is laying on the floor working on a laptop while eating a sandwich 
U75AZ	the person is taking off a scarf and a pair of shoes ; the person knocks a book on the floor 
U75AZ	a person removes a scarf and their shoes 
MIV2M	a person walks through the door and closes it behind them as they enter the room ; the person is holding a bag ; they set it down on a chair and they pour a glass of water out of a pitcher ; and then they sit down on the couch holding the glass 
MIV2M	a person opens a door and walks through and places a bag on a chair ; the person then pours a glass of water and then sits down on a sofa 
HXSMP	a person walks into a room and closes a door ; they then look at them self in the mirror on the back of the door and smiles 
OVICR	a person is taking of the case of their phone while sneezing then they begin to sort some notebooks 
QGHR6	a person is holding a coat 
Z3DBQ	a person walks into the house holding a bag ; they walk up the stairs with the bags and then throw them over the railing onto the floor 
Z3DBQ	a man opens a door and enters a home ; he has two bags in his hand ; he climbs up the stairs and throws the bags over the railing 
SL9ZD	a person puts a box on the floor sits down and fixes a chair ; the person then stands back up picks up the box and moves the chair one more time 
AZZVK	a person sweeps the stairs with a broom 
AZZVK	a person is sweeping the stairs 
FO2RD	a person is sitting down drawing while eating food 
MS3E8	a person walks into the kitchen pantry and starts putting groceries away from a box 
1X765	a person is sitting and eating a sandwich while playing with a phone ; the person then stands and removes clothes from a washing machine 
RGHXS	a person is talking on the phone while washing a glass cup 
VG9II	a person sits in a chair and drinks from a cup ; the person rests back 
EN80R	a person is cooking on a stove they sneeze and reach over and take some medicine off a shelf and drink some 
EN80R	a person is cooking at a stove they then begin to sneeze and take some medicine off a shelf and take some 
LZ07A	a person puts some clothes on and zips it up ; a person takes their purse stands up and walks away 
LZ07A	a person is putting on their jacket and standing up before leaving the room 
XV8CH	a person is cooking food at a stove while another person walks by and sets something on a table then walks out 
XV8CH	person light a stove with a match then walk over and get a spoon another person walks out the door 
JCKRL	a person walks in the room and pulls a coffee cup off a table stands in the room drinking for a moment before replacing the cup on the table 
JCKRL	person walks in through a doorway then grabs a cup of coffee 
VIKQG	a person runs into the room picks up shoes and runs back out 
IR7CA	a person sweeps a bathroom while sneezing before going through a cabinet 
K2L7F	a person is sneezing while carrying a broom then lies down on the floor 
JNWX7	a person is walking to the refrigerator and pouring a glass of water then puts it on a shelf 
WLOCV	there are two people in this video one is covering their face while looking into a mirror and the other is holding a camera holding it backwards while taking a picture of both of them 
94KP4	a person stands in a room eating some food ; they put the dish down on a table then take a light turn it on and shine it around the room ; they pick up a book off the bed 
94KP4	person walking with a dish in hand eating with a spoon put dish on the table uses a flashlight to shine on a item 
1Y5H7	a person is putting a vacuum cleaner near the washer and putting clothes in a laundry basket 
KW4Y1	a person walks in to hall way takes their coat off and puts it back on and pulls the hood up ; the person wipes a mirror off in a hall way 
WYYUD	a person is laying in a bed and gets undressed and throws their robe 
WYYUD	a person awakens from bed sits up undresses then throws their clothes on a rack 
GKH4A	vacuuming the floor in living room ; the one is straightening up the sofa ; then takes food out of a bag 
FLCZA	a person is sitting on a bed and then drinks from a cup and then lays down on the bed 
1BUFQ	a person walks back and forth and then looks up ; then they take a piece of homework and write on it ; then they get back up and leave the room 
1BUFQ	a person is walking in front of a televison back and fort then looking up and sitting on the floor to work on homework 
KW3BO	a person is standing in front of the laundry room eating something from a box and taking a drink of water from a cup ; the person is moving back and forth and smiling 
KW3BO	a person eats some food and drinks something near a laundry machine 
CO1S9	a person removes a box and a bag from an open cabinet before leaving the room 
N588B	a person is closing and carrying a box through a doorway 
ZS1P1	a person works on a laptop while occasionally looking at an opened book 
I6AZD	a person readjusts a blanket ; the person the gets up and takes off their shoes then lies back down with the blanket 
99DTF	a man walks upstairs carrying a box and then looks at his phone 
QDINO	a person is sitting at a table snuggling with a pillow ; the person sneezes 
3CPVF	a person came into a room has spread a blanket down a wooden sofa and decided to browse a cellphone 
QIQXR	person putting on pink tennis shoes before vacuuming the rug around the room and under the table 
SXYLN	a person is standing in a garage ; the person throws a bag of groceries on the ground eats a sandwich and then throws the sandwich in the trash ; the person then leaves the room 
I6B5D	a person is holding something in right hand and shaking it continually ; the person is holding a paper and article of clothing in the right hand 
I6B5D	a person brushing their teeth holding some papers ; the person is reading a paper and holding a towel ; the person starts to put the toothbrush back 
MJX48	a person is putting shoes in a bag on the stairs ; he throws the bag as well 
YMGGV	a person sitting on couch turns on the tv ; they get up grab a blanket and sit back down while wrapping the blanket around themself 
J39ZC	a person stands in a doorway and drinks from a glass 
J39ZC	someone is standing by a door eating something 
C5BMA	the person walked over to the counter picked up a sandwich took a bite placed it back down and then threw a portion of it away 
C5BMA	a person walks through the doorway into the kitchen ; they pick up a sandwich and begin to eat it 
2INEX	someone walks into a dining room with a cup in their hand ; they place the cup on the table and sit down on the floor where they begin picking up clothes 
2INEX	a person outs a coffee cup on a table and gets laundry and throws it on the floor where they sit 
GV40M	person is awakening in bed by window then sneezes then gets up from bed and walks towards door 
0YXN6	a person flips through a notebook ; a person smiles to another who then sneezes and touches their nose 
0YXN6	a person is sitting in a chair writing in a book while another person is standing up sneezing 
J12SC	a person is sitting on the staircase taking off their shoes ; the person takes a box off the staircase and takes a camera out of it ; the person inspects the camera 
H2ZYY	a person opens a cabinet removes one of their shoes and throws it on the floor ; they then close the cabinet remove the other shoe then throw that on the floor too 
WMBOO	a person sitting on the floor opens a cabinet puts some items on the shelf closes the cabinet gets up and walks away 
3C36H	a person is holding a bag while another person sits in a chair and begins writing 
ZYVTC	a young person coming into the room sitting in a chair at a desk eating some food and opening a book and then getting up from the chair 
J40UT	a person is drinking a glass of coffee ; a person then takes the cup and places the cup in the sink 
HQZ29	a person stands up in front of a table and pours milk into a bowl ; the person then puts a dish into the sink 
HQZ29	a person picks up a container and pours water into a bowl ; then they pick up a dish off of the counter and put them in the sink 
LW5O6	a person is vacuuming they stop and pick up shoes off the floor under the table while smiling 
PKEZI	a person sits on a bed and looks at a book while eating some food ; the person gets off the bed and takes off their jacket 
PKEZI	a person is sitting on a bed while reading a book and eating some food ; they then stand up and take off their jacket 
ZHLLU	a person is sitting down on the floor looks into a mirror sneezes and hugs a pillow 
F50DT	a person is playing with a laptop while another person watches a video on their phone while sitting on the stairs 
H3E1E	a person drinks coffee then flips through a book and drinks more coffee 
CXSYS	a person sits in a chair with a bag and then sneezes ; the person gets up and goes and cooks on a stove 
8HLKN	a person is shaking their head while they sit in front of their computer ; they have a towel around their neck that they play with ; they rock back and forth 
8HLKN	a person sitting at a decks in front of a lap top laughing and bouncing back and forth ; the person grabs the scarf several times and keeps on laughing 
JL3VT	a person walks over to a plate of food and picks it up and takes it from the room 
7P0HA	person puts a medicine bottle in the bathroom sink takes it back and sets on counter washes and dries hands picks up a pillow and holds against their chest and walks away 
2XG25	a person waking and getting out of bed checking out their face straightening up the cloths and picking up their phone and walking out of the room 
2XG25	the person wakes gets out of bed checks themselves out in the mirror grabs their phone and walks away 
MD6P2	a person opens a bottle of medicine pours some into a spoon closes the medicine bottle and puts it into a box 
YYMLT	a person is using their laptop while laughing 
V1PRP	a person sat up from sitting on the stairs and walked down to pick up a vacuum and start vacuuming the stairs 
X1R6D	a person goes into a bathroom closes the door and washes their hands 
X1R6D	a person enters the bathroom and washes their hands 
29LL7	a laughing person runs around the room grasping shoes and clothes before standing in a doorway then entering a very dark room 
0OUEP	two people are sitting down ; one person is drinking a soda beverage and the other person gets up and closes a door 
705RV	person removes bread from bag uses spoon to pretend to spread something puts bread down opens jar pours something from jar eats it and puts jar down 
705RV	a person is making a sandwich they then take some medicine 
FKZTG	the person walks to the table and takes off a sandwich then turns around and takes a book off the table as well 
HOI88	one person is sitting on the couch holding a book and rocking like they are sick or cold ; another person comes and sits down next to the other person and lays her head down on the coffee table / desk 
HOI88	person sits on the sofa and another person sits next to them and leans on a table 
SBMQX	a person is drinking from a glass while standing ; a second person is standing outside of the window staring in 
CYLQ0	a person is walking into the kitchen they then take some food from the cabinet and close the cabinet 
